,time_histo_el_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
430,863.0,213797,199828,2,0,0,0,213797,199828
431,865.0,212705,204750,2,0,1,0,212705,204750
432,867.0,210168,210919,5,0,0,0,210168,210919
433,869.0,210983,205589,6,0,0,0,210983,205589
434,871.0,210139,193052,3,0,1,0,210139,193052
435,873.0,210140,192571,4,1,1,0,210140,192571
436,875.0,210001,189738,4,0,2,0,210001,189738
437,877.0,208794,190955,3,0,1,0,208794,190955
438,879.0,207733,192484,3,0,0,0,207733,192484
439,881.0,209222,200655,3,0,0,0,209222,200655
440,883.0,210900,192127,2,0,0,0,210900,192127
441,885.0,211615,188182,2,0,0,0,211615,188182
442,887.0,210328,186727,1,0,0,0,210328,186727
443,889.0,209867,201003,1,0,0,0,209867,201003
444,891.0,209171,220208,2,0,0,0,209171,220208
445,893.0,207922,216625,3,1,0,0,207922,216625
446,895.0,211424,205506,6,1,2,0,211424,205506
447,897.0,210179,181167,2,1,0,0,210179,181167
448,899.0,213488,164091,1,0,0,0,213488,164091
449,901.0,212310,149778,2,1,0,0,212310,149778
450,903.0,212409,154095,2,0,0,0,212409,154095
451,905.0,216375,158217,3,1,0,0,216375,158217
452,907.0,221243,154412,2,1,0,0,221243,154412
453,909.0,224784,155365,2,1,0,0,224784,155365
454,911.0,223667,160190,2,0,1,0,223667,160190
455,913.0,221070,170062,2,0,0,0,221070,170062
456,915.0,220756,162539,4,0,0,0,220756,162539
457,917.0,216357,169846,2,0,0,0,216357,169846
458,919.0,216520,185073,2,1,0,0,216520,185073
459,921.0,217779,200469,3,0,0,0,217779,200469
460,923.0,220732,216779,5,0,0,0,220732,216779
461,925.0,220217,216161,4,0,0,0,220217,216161
462,927.0,222510,212535,6,1,0,0,222510,212535
463,929.0,220429,199635,9,0,0,0,220429,199635
464,931.0,213333,190111,3,1,0,0,213333,190111
465,933.0,209782,191715,1,0,0,0,209782,191715
466,935.0,211225,187090,5,0,0,0,211225,187090
467,937.0,212907,186353,2,1,0,0,212907,186353
468,939.0,212133,176177,4,1,0,0,212133,176177
469,941.0,210854,179011,2,0,0,0,210854,179011
470,943.0,212182,180053,3,0,0,0,212182,180053
471,945.0,213900,171542,5,0,0,0,213900,171542
472,947.0,217287,164431,6,0,1,0,217287,164431
473,949.0,215964,156637,2,0,1,0,215964,156637
474,951.0,219217,143140,0,0,0,0,219217,143140
475,953.0,220710,140904,7,0,0,0,220710,140904
476,955.0,219786,142359,2,0,0,0,219786,142359
477,957.0,220866,142615,1,0,0,0,220866,142615
478,959.0,220897,148897,4,1,0,0,220897,148897
479,961.0,214785,153920,7,0,0,0,214785,153920
480,963.0,213981,167744,2,1,0,0,213981,167744
481,965.0,215141,173108,3,0,0,0,215141,173108
482,967.0,214649,177355,2,1,1,1,214649,177355
483,969.0,215184,188514,3,0,0,0,215184,188514
484,971.0,214662,187098,4,1,0,0,214662,187098
485,973.0,213578,197404,4,2,0,0,213578,197404
486,975.0,212689,194937,4,0,0,0,212689,194937
487,977.0,212337,180015,2,0,0,0,212337,180015
488,979.0,213086,166951,2,1,0,0,213086,166951
489,981.0,217592,162259,7,0,1,0,217592,162259
490,983.0,220454,150981,7,1,0,0,220454,150981
491,985.0,225563,150746,4,3,0,0,225563,150746
492,987.0,224945,161084,2,0,0,0,224945,161084
493,989.0,227382,177077,6,0,1,0,227382,177077
494,991.0,224830,182993,5,1,0,0,224830,182993
495,993.0,227545,179157,1,0,0,0,227545,179157
496,995.0,230098,180867,5,0,0,0,230098,180867
497,997.0,230073,176903,6,0,0,0,230073,176903
498,999.0,229572,181375,5,0,1,0,229572,181375
499,1001.0,226429,181720,1,0,0,0,226429,181720
500,1003.0,221143,179502,6,2,0,0,221143,179502
501,1005.0,222063,182817,5,1,0,0,222063,182817
502,1007.0,219574,183600,1,0,0,0,219574,183600
503,1009.0,221866,189012,2,0,0,0,221866,189012
504,1011.0,218982,200518,4,0,0,0,218982,200518
505,1013.0,218117,205803,5,0,0,0,218117,205803
506,1015.0,217706,208644,7,0,0,0,217706,208644
507,1017.0,219869,217873,8,0,0,0,219869,217873
508,1019.0,223250,217147,0,0,0,0,223250,217147
509,1021.0,226340,214622,2,0,1,0,226340,214622
510,1023.0,226010,206790,9,1,0,0,226010,206790
511,1025.0,224638,210224,3,0,0,0,224638,210224
512,1027.0,223450,208027,7,0,0,0,223450,208027
513,1029.0,223807,195403,1,0,0,0,223807,195403
514,1031.0,223984,174603,2,0,0,0,223984,174603
515,1033.0,225954,177736,5,1,0,0,225954,177736
516,1035.0,229425,193867,2,0,0,0,229425,193867
517,1037.0,229805,199273,3,0,0,0,229805,199273
518,1039.0,228027,200019,7,1,0,0,228027,200019
519,1041.0,225784,189928,3,1,1,0,225784,189928
520,1043.0,224477,189618,1,0,0,0,224477,189618
521,1045.0,224606,187600,1,0,0,0,224606,187600
522,1047.0,222904,178960,3,1,0,0,222904,178960
523,1049.0,224392,188043,7,0,0,0,224392,188043
524,1051.0,223156,188262,2,0,0,0,223156,188262
525,1053.0,219331,180970,5,0,0,0,219331,180970
526,1055.0,216706,172024,3,0,0,0,216706,172024
527,1057.0,218738,174026,4,0,0,0,218738,174026
528,1059.0,224819,175038,2,0,0,0,224819,175038
