,time_histo_el_s,ch0
838,1677.0,533
839,1679.0,503
840,1681.0,545
841,1683.0,534
842,1685.0,504
843,1687.0,530
844,1689.0,548
845,1691.0,546
846,1693.0,463
847,1695.0,527
848,1697.0,487
849,1699.0,517
850,1701.0,543
851,1703.0,575
852,1705.0,561
853,1707.0,508
854,1709.0,531
855,1711.0,502
856,1713.0,597
857,1715.0,559
858,1717.0,518
859,1719.0,470
860,1721.0,553
861,1723.0,522
862,1725.0,558
863,1727.0,526
864,1729.0,514
865,1731.0,533
866,1733.0,527
867,1735.0,496
868,1737.0,495
869,1739.0,514
870,1741.0,510
871,1743.0,538
872,1745.0,568
873,1747.0,524
874,1749.0,543
875,1751.0,553
876,1753.0,535
877,1755.0,516
878,1757.0,538
879,1759.0,516
880,1761.0,554
881,1763.0,503
882,1765.0,524
883,1767.0,538
884,1769.0,503
885,1771.0,541
886,1773.0,550
887,1775.0,574
888,1777.0,566
889,1779.0,513
890,1781.0,537
891,1783.0,523
892,1785.0,536
893,1787.0,508
894,1789.0,520
895,1791.0,533
896,1793.0,533
897,1795.0,487
898,1797.0,533
899,1799.0,558
900,1801.0,494
901,1803.0,549
